City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,zherdevka,51.8486,41.4606,14.480000000000018,72,30,3.71,RU,1723675115
66,maridi,4.9158,29.4742,19.410000000000025,98,100,3.57,SS,1723675116
67,stettler,52.3168,-112.7186,24.860000000000014,37,15,5.48,CA,1723675116
68,college,64.8569,-147.8028,16.160000000000025,55,75,4.12,US,1723675116
69,broken hill,-31.95,141.4333,17.140000000000043,47,2,4.26,AU,1723675116
70,kiunga,-6.1219,141.2906,23.379999999999995,99,100,0.68,PG,1723675116
71,puerto ayora,-0.7393,-90.3518,23.980000000000018,85,71,2.24,EC,1723675116
72,whitehorse,60.7161,-135.0538,9.450000000000045,95,100,2.06,CA,1723675117
73,usogorsk,63.4106,48.6872,10.939999999999998,81,83,4.52,RU,1723675117
74,blackmans bay,-43.0167,147.3167,8.740000000000009,94,100,0.81,AU,1723675117
75,ballina,-28.8667,153.5667,18.77000000000004,93,88,2.66,AU,1723675117
76,alofi,-19.0595,-169.9187,21.939999999999998,60,75,5.66,NU,1723675117
77,al bawiti,28.3492,28.8659,28.450000000000045,38,0,3.47,EG,1723675117
78,tommot,58.9564,126.2925,14.75,68,100,3.07,RU,1723675117
79,port lincoln,-34.7333,135.8667,14.990000000000009,74,69,4.54,AU,1723675118
80,kapuskasing,49.4169,-82.4331,22.05000000000001,78,75,2.57,CA,1723675118
81,manicore,-5.8092,-61.3003,29.28000000000003,46,37,1.43,BR,1723675118
82,nago,26.5881,127.9761,28.470000000000027,80,98,1.5,JP,1723675118
83,mejit,10.2753,170.8646,28.410000000000025,78,80,6.94,MH,1723675118
84,iqaluit,63.7506,-68.5145,13.850000000000023,54,40,9.26,CA,1723675118
85,cooma,-36.2333,149.1333,9.910000000000025,83,11,0.28,AU,1723675119
86,nova sintra,14.8667,-24.7167,25.640000000000043,81,79,6.21,CV,1723675119
87,ribeira grande,38.5167,-28.7,24.32000000000005,88,4,0.89,PT,1723675119
88,nemuro,43.3236,145.575,17.480000000000018,99,100,5.78,JP,1723675119
89,cardigan,52.0847,-4.6591,16.960000000000036,93,90,4.55,GB,1723675119
90,utrik,11.2278,169.8474,27.890000000000043,74,100,5.88,MH,1723675119
91,hadibu,12.65,54.0333,26.189999999999998,82,32,6.51,YE,1723675120
92,yeraliyev,43.2,51.65,24.430000000000007,44,86,4.43,KZ,1723675120
93,san antonio de pale,-1.4014,5.6325,22.950000000000045,82,17,2.24,GQ,1723675120
94,carutapera,-1.195,-46.02,25.620000000000005,74,4,3.97,BR,1723675120
95,sisimiut,66.9395,-53.6735,5.220000000000027,88,100,3.04,GL,1723675120
96,pacific grove,36.6177,-121.9166,25.860000000000014,78,0,4.12,US,1723675120
97,penon blanco,24.7897,-104.0369,29.510000000000048,27,96,5.92,MX,1723675121
98,bredasdorp,-34.5322,20.0403,6.590000000000032,75,67,1.77,ZA,1723675121
99,kapa'a,22.0752,-159.319,29.180000000000007,63,0,5.66,US,1723675121
100,el nido,11.1858,119.3956,26.189999999999998,94,78,1.53,PH,1723675121
101,stanley,54.868,-1.6985,13.010000000000048,69,0,3.09,GB,1723675121
102,tazacorte,28.629,-17.9293,23.54000000000002,73,20,8.23,ES,1723675121
103,macau,22.2006,113.5461,27.890000000000043,94,20,1.03,MO,1723675122
104,geraldton,-28.7667,114.6,15.230000000000018,77,100,3.09,AU,1723675122
105,el calafate,-50.3408,-72.2768,0.410000000000025,79,92,1.07,AR,1723675122
106,west island,-12.1568,96.8225,25.99000000000001,83,40,4.63,CC,1723675122
107,pallattur,10.15,78.8,26.510000000000048,87,53,2.42,IN,1723675122
108,isangel,-19.55,169.2667,25.060000000000002,61,40,5.66,VU,1723675123
109,khandyga,62.6667,135.6,11.270000000000039,44,0,3.8,RU,1723675123
110,christchurch,-43.5333,172.6333,9.970000000000027,82,94,1.78,NZ,1723674945
111,mahibadhoo,3.7833,72.9667,27.83000000000004,76,95,9.57,MV,1723675123
112,richards bay,-28.783,32.0377,18.560000000000002,65,95,4.61,ZA,1723675123
113,mweka,-4.85,21.5667,25.379999999999995,54,97,1.67,CD,1723675123
114,pimentel,-6.8367,-79.9342,19.160000000000025,72,0,8.23,PE,1723675124
115,island harbour,50.724,-1.2758,17.74000000000001,90,84,4.46,GB,1723675124
116,naze,28.3667,129.4833,26.510000000000048,76,93,0.89,JP,1723675124
117,kavalerovo,44.2661,135.0572,23.660000000000025,83,8,0.52,RU,1723675124
118,ixtapa,20.7,-105.2,26.57000000000005,94,100,3.13,MX,1723675124
119,kodiak,57.79,-152.4072,13.730000000000018,72,0,3.6,US,1723675125
120,atafu village,-8.5421,-172.5159,28.220000000000027,74,11,4.72,TK,1723675125
121,balykshi,47.0667,51.8667,17.0,51,0,4.0,KZ,1723675125
122,talcahuano,-36.7167,-73.1167,12.82000000000005,82,75,4.12,CL,1723675125
123,kilimatinde,-5.85,34.95,20.140000000000043,54,3,1.44,TZ,1723675125
124,hawaiian paradise park,19.5933,-154.9731,28.74000000000001,69,40,5.66,US,1723675126
125,auki,-8.7676,160.7034,28.870000000000005,69,39,1.38,SB,1723675126
126,puerto leguizamo,-0.1934,-74.7819,23.610000000000014,88,92,0.28,CO,1723675126
127,turan,16.0678,108.2208,25.99000000000001,100,40,1.54,VN,1723675126
128,la ronge,55.1001,-105.2842,25.140000000000043,50,40,2.57,CA,1723675126
129,el tigre,8.8875,-64.2454,26.700000000000045,70,99,1.82,VE,1723675126
130,chonchi,-42.6128,-73.8092,8.950000000000045,90,84,1.6,CL,1723675127
131,mandvi,22.8333,69.3667,27.470000000000027,82,100,6.44,IN,1723675127
132,tamanrasset,22.785,5.5228,25.950000000000045,53,40,1.54,DZ,1723675127
133,singkil,-7.9855,111.4161,20.360000000000014,93,90,2.9,ID,1723675127
134,port blair,11.6667,92.75,26.02000000000004,94,75,1.03,IN,1723675127
135,bubaque,11.2833,-15.8333,26.189999999999998,83,100,5.58,GW,1723675127
136,ancud,-41.8697,-73.8203,7.840000000000032,89,29,4.05,CL,1723675128
137,silver city,32.7701,-108.2803,32.43000000000001,23,0,5.81,US,1723674963
138,derzhavinsk,51.1,66.3167,16.170000000000016,59,33,3.47,KZ,1723675128
139,arno,60.1167,18.6333,17.660000000000025,83,97,4.3,SE,1723675128
140,tura,25.5198,90.2201,24.55000000000001,98,100,2.05,IN,1723675128
141,thunder bay,48.4001,-89.3168,27.99000000000001,44,75,3.6,CA,1723675128
142,flying fish cove,-10.4217,105.6791,24.82000000000005,83,100,6.17,CX,1723675129
143,zeya,53.75,127.2667,22.860000000000014,82,68,1.17,RU,1723675129
144,kamaishi,39.2667,141.8833,26.80000000000001,83,17,1.24,JP,1723675129
145,puerto baquerizo moreno,-0.9,-89.6,21.55000000000001,73,75,5.66,EC,1723675129
146,dalnegorsk,44.5604,135.5701,22.77000000000004,85,4,0.38,RU,1723675131
147,saint-pierre,-21.3393,55.4781,20.82000000000005,60,100,2.57,RE,1723675131
148,mount pearl,47.5166,-52.7813,13.410000000000025,80,40,2.57,CA,1723675131
149,jiazi,22.8779,116.067,28.060000000000002,85,100,3.3,CN,1723675131
150,gorontalo,0.5412,123.0595,25.5,85,48,1.47,ID,1723675131
151,crane,31.3974,-102.3501,37.629999999999995,23,13,8.42,US,1723675131
152,pisco,-13.7,-76.2167,17.03000000000003,77,20,6.69,PE,1723675132
153,avarua,-21.2078,-159.775,22.03000000000003,73,40,4.63,CK,1723675132
154,east london,-33.0153,27.9116,13.160000000000025,55,5,10.14,ZA,1723675132
155,darwin,-12.4611,130.8418,21.99000000000001,88,0,1.54,AU,1723675132
156,ambon,-3.6954,128.1814,25.08000000000004,88,40,0.51,ID,1723675132
157,san patricio,28.017,-97.5169,34.53000000000003,53,99,6.57,US,1723675132
158,petropavlovsk-kamchatsky,53.0452,158.6483,12.330000000000041,100,100,1.0,RU,1723675133
159,uturoa,-16.7333,-151.4333,25.879999999999995,78,27,3.36,PF,1723675133
160,port douglas,-16.4833,145.4667,23.430000000000007,51,5,1.27,AU,1723675133
161,tual,-5.6667,132.75,25.189999999999998,79,58,7.99,ID,1723675133
162,turkmenbasy,40.0222,52.9552,25.430000000000007,41,0,3.09,TM,1723675133
163,karamay,45.6004,84.8661,26.960000000000036,28,4,3.58,CN,1723675133
164,udachny,66.4167,112.4,9.07000000000005,53,85,3.8,RU,1723675134
165,pergamino,-33.89,-60.5736,13.670000000000016,53,100,3.09,AR,1723675134
